"","T0_S","T4_S","T8_S","T12_S","T16_S","T20_S","T24_S","T28_S","T32_S","T36_S","T40_S","T44_S","T48_S","T52_S","T56_S","T60_S","T64_S","T68_S","T72_S","T76_S","T80_S","T84_S","T88_S","T92_S","T96_S","T100_S","T104_S","T108_S","T112_S"
"MarineAlpha5-Bin3",893.577097671214,1325.36947994072,1492.63934319133,1260.58686310427,1324.9810313522,1036.75872528539,1369.43273352655,1237.50898469565,1513.57851482954,1419.41111329027,1175.70607223926,1220.94975372395,1246.88654413127,391.750571214245,1375.48056508737,1257.03250864422,1196.93151685281,1114.96869003011,1064.80519031552,1710.01085739039,1276.76293163632,1442.83619227348,523.900982067069,1043.55517031171,1069.43276518759,1850.29833792646,1519.43244909984,1806.73235452235,1578.74012658454
"Mariniflexile",78.2718736728103,74.212950513937,91.7553571432522,123.081217762278,112.195092124191,53.4649256002843,96.1433466874564,81.8862091482292,116.257541751539,88.3206579196737,57.6026875379938,65.761335537274,76.3103411426451,29.6234235562504,88.9483747590277,105.666498105518,61.7717682450287,58.3861520303799,95.3312779716261,123.926277339913,70.8466598787447,91.705562519421,34.3816481474402,59.3799020007796,67.4685982976819,132.405888144751,136.499281049412,101.606228878601,123.997922631951
"Marinomonas",38.6406636419174,41.8091606723879,61.7750445767419,50.6075777099361,68.2993385469131,31.9024328893098,42.5830407286676,54.0473955900538,66.0229352850499,58.7279704568322,44.8301854995249,34.8146419130079,45.8044032746025,18.4872180842801,51.6545893614223,80.5677679088211,55.0455631408463,49.4384830755379,27.241547046685,54.3138167186572,53.837913760091,59.1300874227201,29.4534766006325,73.0280568379135,59.08873745903,63.595612568621,101.657038915156,62.0646354988107,57.7922847007932
"MedAcidi-G1",49.3359793011843,52.8311851233716,59.1205500324355,73.0575556473267,56.4001178213971,38.4293677446524,51.6347251739871,52.436157002609,66.1748806302008,67.0000882667514,53.9530839533533,48.4088396453176,54.1496820537038,15.2787641581072,48.3128481714287,85.7203846501476,66.0688207261422,36.4863442533969,64.1111996973465,41.2935109118646,39.3382986881557,46.8345419825463,23.2133749115926,0,0,68.7207182248477,51.5589141053628,41.8746495195752,52.2344519942277
"Meridianimaribacter",460.716634015288,565.736181439933,592.539420430288,493.609547801238,405.682370245145,389.275377253911,487.739905132997,442.50942569476,429.123981542705,429.789049067729,333.379250922234,367.499306903653,377.034978012273,130.579494116596,403.663637530989,470.759400886517,348.752875427523,343.245713615949,373.815850076442,546.342421972971,452.547703139763,531.450636538678,202.72915030471,374.392510684967,489.357357576592,632.897239949149,492.555686629441,632.216061170167,533.689168902935
"Mesoflavibacter",865.416473837315,1035.47815020333,1063.98885556353,1009.01131650663,990.207619348223,700.724292551427,907.774632965161,878.406581880486,1020.52052205509,936.633013041688,852.110208036463,849.5259353776,742.344836472342,289.229611266419,838.707974580088,1018.17663060877,879.337488408923,725.798654887995,891.905008090771,1061.15462256205,867.491179327188,1029.61797769452,335.730882935761,697.081834518567,991.292718468385,1202.7437715007,953.372311159454,1147.23105928952,904.953290561632
"Methanobrevibacter_C",246.188922295009,322.266130183033,362.324417258895,295.719776924597,298.05129657972,246.665757401439,346.037972964695,323.129603499318,327.688681268619,301.591729075222,269.148352881846,273.118248950175,279.582827628682,90.6311202924197,328.334643220113,286.446315407673,249.270934482285,274.174657728316,310.776360474182,462.408897797733,346.326602580319,472.529189514378,146.417607721453,281.62873588751,395.006281177491,495.993323373914,353.605187636184,439.067550850418,356.831779088951
"Mf105b01",248.359046029556,249.663022527555,298.193051917889,286.771691322364,356.059591425625,166.456120544376,244.975638496375,209.751809675363,341.834678303753,282.023815734242,226.053257481806,211.132558531046,207.609538854533,74.3258960431884,244.548021179591,266.592044239757,210.105114295244,201.887083463984,248.642534822927,346.763462338165,270.69201636878,318.4644418564,107.625898181051,199.778349719196,296.590751939444,410.280221394979,323.121451658618,295.848001577916,272.040017772357
"Myroides",95.9758895067187,143.380281149019,163.849214870591,130.279545154032,191.885488567497,104.331991892202,97.5010767468743,110.18726704274,170.699457981409,157.041012342597,103.18066282536,109.089927240745,119.176644552704,42.3980192249288,154.660801377127,134.135750014884,118.672174874145,117.361337733751,132.157027062045,130.887359798762,121.63123936001,112.438644138271,43.6103445646189,83.9425684440521,116.680828765102,153.257423713301,148.142976537946,126.974644793077,118.554644858313
"NBD-18",872.30355661967,895.1969693624,956.455788215546,999.689388509313,1219.95536279614,574.696022679424,824.236839612481,748.485911064249,1177.59964817227,1008.64233850101,895.371443827519,853.764881652784,851.884262750256,348.652552837847,962.679653461708,1246.89223033135,829.851551246159,752.795263913573,900.230016265765,1327.33191760461,1050.73599167676,1026.67587277332,549.89059028036,736.11784721072,1130.22398613196,1487.76982421545,1197.28146430566,1087.25326100716,950.691498891849
