"","virus","pVal","phase","peak.shape","period","p.adj"
"1270","T8_S__k141_549171||full",0.000697762967576348,12,12,24,0.0270763341296373
"1272","T52_S_k141_252639||full",0.000150580745929486,8,16,24,0.019139958960297
"1275","T84_S__k141_1228196||full",0.00145783696068083,16,12,24,0.0349083316051522
"1278","T8_S__k141_1214448||full",0.000351395228779672,12,12,24,0.0222849259507213
"1281","T8_S__k141_1359549||full",0.00245569380076853,8,16,24,0.0441872882844828
"1285","T84_S__k141_246630||full",0.00288528746104664,16,8,24,0.0482515468754398
"1288","T32_S__k141_1117712||full",0.000858642210921759,16,8,24,0.0287567945992524
"1289","T108_S__k141_612825||full",0.0010664872663559,16,8,24,0.0317983017443167
"1293","T36_S__k141_515464||full",0.000198022661513773,16,12,24,0.019732184057179
"1298","T16_S__k141_81821||full",0.000153042633344328,16,8,24,0.0191512884950881
"1305","T108_S__k141_911428||full",0.00193234923656654,16,8,24,0.0394353515457819
"1307","T28_S__k141_502394||full",8.34771516603022e-05,16,8,24,0.0163397069061258
"1310","T8_S__k141_1067449||full",0.001420085118529,8,20,24,0.0349083316051522
"1313","T48_S__k141_2109||full",0.000866457664262784,16,12,24,0.0288390458865416
"1316","T4_S__k141_1097577||full",0.000331256382747241,12,12,24,0.0220661404452316
"1317","T84_S__k141_305489||full",0.00199703763174101,8,20,24,0.0397666687623165
"1319","T76_S__k141_88994||full",0.000460639832149528,8,16,24,0.0242683243402119
"1320","T60_S__k141_773826||full",0.00257809152338086,12,12,24,0.0450240953098767
"1322","T72_S__k141_1091454||full",0.00150311604916546,16,8,24,0.0349083316051522
"1323","T12_S__k141_731759||full",0.00162837571992925,16,8,24,0.0362903724642124
"1325","T100_S__k141_515431||full",0.00314758632114179,16,8,24,0.0494560923511894
"1326","T100_S__k141_753840||full",0.000275691074992704,16,8,24,0.0207316263660662
"1329","T60_S__k141_313118||full",0.000479532712711673,16,8,24,0.0242683243402119
"1330","T28_S__k141_1026293||full",0.000379998922775293,16,8,24,0.022635409387653
"1331","T40_D__k141_835245||full",0.00193234923656654,16,8,24,0.0394353515457819
"1332","T48_S__k141_922712||full",0.00230636112641659,12,12,24,0.0432246349187704
"1343","T112_D__k141_203208||full",0.000501329654198568,16,8,24,0.0243358535905498
"1345","T64_S__k141_544537||full",0.00026153548749994,16,8,24,0.0206678603286038
"1346","T100_D__k141_778090||full",0.000600630851815147,16,8,24,0.0263252837660094
"1347","T4_S__k141_1200311||full",0.00116386836124688,8,16,24,0.0318980288616093
"1348","T60_S__k141_945147||full",0.00137785637840167,16,8,24,0.0349083316051522
"1350","T76_S__k141_485086||full",0.00296527327788505,8,16,24,0.0490444918765397
"1351","T12_S__k141_1148937||full",0.00177132013351933,16,8,24,0.0383981608890215
"1353","T0_S__k141_803643||full",0.00314758632114179,16,8,24,0.0494560923511894
"1355","T36_S__k141_185817||full",0.00111496396028117,16,8,24,0.0318298907622438
"1360","T8_S__k141_1251818||full",0.000273989558333271,16,8,24,0.0206678603286038
"1363","T112_D__k141_931305||full",0.00288528746104664,16,8,24,0.0482515468754398
"1365","T108_S__k141_933260||full",0.00299341666183724,8,20,24,0.0490444918765397
"1374","T68_S__k141_509989||full",0.00131522654301978,16,8,24,0.0343918958020311
"1376","T68_S__k141_460492||full",0.00248090437031281,12,12,24,0.0441872882844828
"1377","T72_S__k141_43551||full",0.000198022661513773,16,12,24,0.019732184057179
"1378","T52_S_k141_744444||full",0.00168830439766374,8,16,24,0.0370967356488473
"1381","T112_S__k141_1086991||full",0.00226609582406118,16,8,24,0.0427845959328011
"1384","T24_S__k141_99546||full",0.000124717493863939,8,20,24,0.0178720782259343
"1387","T104_S__k141_643889||full",2.91583795499771e-05,16,8,24,0.0139876047649868
"1393","T60_S__k141_216408||full",8.34771516603022e-05,16,8,24,0.0163397069061258
"1394","T88_S_k141_735910||full",0.000175855166927301,12,12,24,0.0191808874413408
"1397","T36_S__k141_1291007||full",0.000783977670841606,16,8,24,0.0287567945992524
"1398","T32_S__k141_938625||full",0.00113539781170669,12,12,24,0.0318980288616093
"1399","T8_S__k141_1330500||full",0.000885660066759663,12,12,24,0.029098199262576
"1404","T40_D__k141_17252||full",0.00308299063921204,12,12,24,0.0494560923511894
"1405","T104_S__k141_675291||full",0.00137785637840167,16,8,24,0.0349083316051522
"1407","T16_D__k141_441898||full",0.00288528746104664,16,8,24,0.0482515468754398
"1411","T4_S__k141_9944||full",0.00116344065420643,16,8,24,0.0318980288616093
"1415","T32_S__k141_385526||full",0.000214801716475905,12,16,24,0.0198898996663387
"1420","T80_S__k141_96075||full",6.22219636381881e-06,16,12,24,0.00899469643934016
"1431","T8_S__k141_1116030||full",0.000346955538186137,16,8,24,0.0222849259507213
"1433","T96_S__k141_113193||full",0.000250109367265587,8,16,24,0.0206678603286038
"1436","T84_S__k141_1006434||full",0.000629232320949202,16,8,24,0.0263252837660094
"1438","T64_S__k141_903785||full",9.77488201622695e-05,8,16,24,0.0168461916826277
"1441","T100_D__k141_418678||full",0.00265751830836549,16,12,24,0.0459308696065396
"1446","T96_S__k141_280629||full",0.00191136886073252,8,16,24,0.0394353515457819
"1449","T88_S_k141_766036||full",0.000286443629166601,16,8,24,0.0211139909791175
"1452","T112_S__k141_77108||full",0.00062659509001351,8,20,24,0.0263252837660094
"1454","T60_S__k141_748519||full",0.00318977023786578,8,16,24,0.0498947652065129
"1455","T88_S_k141_1240009||full",0.000173723177128667,16,8,24,0.0191808874413408
"1468","T104_S__k141_25453||full",0.00164400039172113,12,12,24,0.036554477029509
"1469","T56_S__k141_581737||full",0.000629232320949202,16,8,24,0.0263252837660094
"1474","T60_S__k141_535770||full",0.00193234923656654,16,8,24,0.0394353515457819
"1481","T52_S_k141_15547||full",0.000635107509707133,12,12,24,0.0263252837660094
"1483","T84_S__k141_1146546||full",0.000821309940881683,16,8,24,0.0287567945992524
"1487","T112_S__k141_18615||full",0.00143879233478458,12,12,24,0.0349083316051522
"1488","T60_S__k141_731053||full",0.00142288151709329,16,12,24,0.0349083316051522
"1492","T52_D__k141_301095||full",0.00113539781170669,12,12,24,0.0318980288616093
"1493","T28_S__k141_85249||full",0.000782000310032779,8,20,24,0.0287567945992524
"1499","T76_S__k141_702917||full",0.00137785637840167,16,8,24,0.0349083316051522
"1501","T112_D__k141_669096||full",0.000179801599683208,8,16,24,0.0192714701447238
"1502","T12_S__k141_276081||full",1.71369706566612e-05,16,8,24,0.0136050690977178
"1512","T100_D__k141_364261||full",0.0010664872663559,16,8,24,0.0317983017443167
"1516","T60_S__k141_321380||full",0.00185183468504293,16,8,24,0.039333618476868
"1521","T80_S__k141_79016||full",0.00074664540080153,16,8,24,0.0282488620859504
"1523","T100_S__k141_559697||full",0.00153348442549448,8,20,24,0.0351460405858244
"1527","T24_S__k141_1128235||full",0.00247210453533947,16,8,24,0.0441872882844828
"1528","T16_D__k141_1068772||full",0.000175855166927301,12,12,24,0.0191808874413408
"1530","T12_S__k141_62373||full",3.0362116569481e-05,12,12,24,0.0139876047649868
"1533","T88_S_k141_1596||full",0.00152239192925749,8,16,24,0.0349083316051522
"1534","T28_S__k141_590928||full",0.000396520615069871,16,8,24,0.0231841025452687
"1535","T112_D__k141_669436||full",0.00131441522185242,8,20,24,0.0343918958020311
"1539","T88_D__k141_388541||full",0.000214702605523308,16,8,24,0.0198898996663387
"1541","T84_S__k141_709010||full",0.00281420430770767,16,8,24,0.0475859937896881
"1545","T36_S__k141_744005||full",0.000181738615240358,12,12,24,0.0192714701447238
"1546","T108_S__k141_792630||full",0.00020536770963099,16,8,24,0.0197447434681597
"1549","T100_S__k141_700873||full",0.000410654970440841,12,12,24,0.0232598817643381
"1552","T40_D__k141_842213||full",0.00156645801523313,16,8,24,0.0356028964133435
"1558","T24_S__k141_559584||full",0.00145895893220509,8,16,24,0.0349083316051522
"1559","T12_S__k141_1327915||full",0.00191136886073252,16,12,24,0.0394353515457819
"1560","T112_S__k141_132354||full",0.00122784690038426,8,20,24,0.0328883681923723
"1561","T100_S__k141_641907||full",0.00281420430770767,16,8,24,0.0475859937896881
"1564","T96_S__k141_5609||full",0.00299341666183724,8,20,24,0.0490444918765397
"1570","T32_S__k141_771627||full",0.00314204236973546,12,12,24,0.0494560923511894
"1571","T40_S__k141_917039||full",8.72715676448614e-05,16,8,24,0.0163397069061258
"1578","T80_S__k141_391514||full",4.34020720101887e-05,12,12,24,0.0149793527543917
"1580","T84_S__k141_532026||full",0.00236910017970032,16,8,24,0.0437069651438199
"1581","T104_S__k141_414079||full",0.000479532712711673,16,8,24,0.0242683243402119
"1582","T112_S__k141_1094307||full",0.00024218681793713,12,12,24,0.0204688014294229
"1583","T52_S_k141_939814||full",0.00300425666145336,16,12,24,0.0490444918765397
"1587","T36_S__k141_466844||full",0.00137785637840167,16,8,24,0.0349083316051522
"1588","T56_S__k141_1078367||full",0.00241119572307189,12,12,24,0.0441872882844828
"1589","T64_S__k141_682925||full",0.0012119173481317,16,8,24,0.0326905954194876
"1591","T40_S__k141_793492||full",0.00144048621378356,16,8,24,0.0349083316051522
"1596","T84_S__k141_272171||full",0.000213270153081315,8,20,24,0.0198898996663387
"1600","T36_S__k141_245034||full",0.00201286378809014,16,8,24,0.0399831696183878
"1605","T44_S__k141_1313571||full",0.00150311604916546,16,8,24,0.0349083316051522
"1607","T64_S__k141_75668||full",0.00177132013351933,16,8,24,0.0383981608890215
"1608","T4_S__k141_418589||full",0.00256246309645412,8,16,24,0.0450240953098767
"1612","T52_S_k141_424678||full",0.00277306258264225,16,12,24,0.0471703107664907
"1613","T76_S__k141_87395||full",0.0013955259351527,8,16,24,0.0349083316051522
"1617","T84_S__k141_824452||full",3.20742175049748e-05,16,8,24,0.014382316716027
"1621","T8_S__k141_753860||full",0.000316199274440549,12,12,24,0.0219379361484287
"1625","T4_S__k141_905447||full",0.000814787978763046,12,12,24,0.0287567945992524
"1627","T4_S__k141_281427||full",0.00236910017970032,16,8,24,0.0437069651438199
"1628","T100_S__k141_539191||full",0.00288528746104664,16,8,24,0.0482515468754398
"1631","T32_S__k141_930608||full",0.000359684434981709,8,16,24,0.0222849259507213
"1636","T4_S__k141_928278||full",0.000181995709372889,20,8,24,0.0192714701447238
"1638","T40_D__k141_456177||full",0.000479532712711673,16,8,24,0.0242683243402119
"1642","T52_D__k141_190212||full",0.00121884391119175,12,12,24,0.0327923182951079
"1644","T24_S__k141_228236||full",0.00145895893220509,8,16,24,0.0349083316051522
"1647","T100_S__k141_82388||full",0.00122784690038426,8,20,24,0.0328883681923723
